City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
268,petropavlovsk-kamchatsky,53.0452,158.6483,271.48,86,75,22.35,RU,1710621777
269,san juan,-31.5375,-68.5364,303.95,31,1,8.06,AR,1710621778
270,zaozersk,69.4005,32.4476,265.95,91,97,6.56,RU,1710621778
271,gereida,11.2811,25.1414,303.92,16,73,1.26,SD,1710621778
272,bemidji,47.4736,-94.8803,273.66,62,100,10.29,US,1710621779
273,malango,-2.9627,119.9001,292.37,93,96,1.43,ID,1710621779
274,poland,44.0606,-70.3937,283.84,80,100,3.09,US,1710621250
275,westport,41.1415,-73.3579,288.49,57,0,6.17,US,1710621780
276,okhotsk,59.3833,143.3,265.48,95,100,6.05,RU,1710621737
277,kingston,17.997,-76.7936,303.8,66,75,5.14,JM,1710621498
278,ksar chellala,35.2122,2.3189,287.2,53,25,3.03,DZ,1710621781
279,ketchikan,55.3422,-131.6461,285.01,87,0,5.66,US,1710621552
280,kill devil hills,36.0307,-75.676,286.47,68,0,3.09,US,1710621641
281,barra,-11.0894,-43.1417,302.78,49,37,1.48,BR,1710621692
282,koumra,8.9126,17.5539,305.7,18,23,1.01,TD,1710621783
283,geraldton,-28.7667,114.6,295.38,83,22,3.6,AU,1710621539
284,rikaze,29.25,88.8833,272.08,39,14,2.17,CN,1710621784
285,waingapu,-9.6567,120.2641,298.26,87,100,3.54,ID,1710621784
286,sabha,27.0377,14.4283,290.17,33,97,5.99,LY,1710621785
287,ohara,35.25,140.3833,287.51,77,67,7.42,JP,1710621785
288,port lincoln,-34.7333,135.8667,290.16,92,4,3.18,AU,1710621786
289,tralee,52.2704,-9.7026,283.93,91,89,2.65,IE,1710621530
290,tomatlan,19.9333,-105.25,305.76,36,1,6.21,MX,1710621787
291,kapit,2.0167,112.9333,296.23,100,100,0.26,MY,1710621787
292,usinsk,65.9939,57.5281,270.97,87,100,3.13,RU,1710621788
293,inverurie,57.2845,-2.3774,279.1,88,100,7.2,GB,1710621788
294,afaahiti,-17.75,-149.2833,304.08,77,76,5.07,PF,1710621789
295,yaren,-0.5472,166.916,301.25,79,100,3.89,NR,1710621489
296,flying fish cove,-10.4217,105.6791,296.97,88,12,2.57,CX,1710621789
297,alice springs,-23.7,133.8833,291.9,37,0,3.09,AU,1710621790
298,suva,-18.1416,178.4415,297.86,100,75,3.09,FJ,1710621790
299,zhongshu,24.5167,103.7667,286.21,57,0,2.2,CN,1710621791
300,saint-philippe,-21.3585,55.7679,298.92,77,41,6.06,RE,1710621560
301,extrema,-22.8547,-46.3183,298.09,74,98,0.81,BR,1710621481
302,manokwari,-0.8667,134.0833,298.9,84,99,6.16,ID,1710621792
303,tsiombe,-25.3,45.4833,297.47,91,1,3.39,MG,1710621533
304,bathsheba,13.2167,-59.5167,302.49,65,20,9.26,BB,1710621793
305,buka,40.8108,69.1986,279.78,43,0,1.67,UZ,1710621793
306,sola,-13.8833,167.55,300.97,82,100,7.19,VU,1710621794
307,'alaqahdari dishu,30.4374,63.313,292.87,25,49,2.44,AF,1710621794
308,hami,42.8,93.45,274.53,29,2,3.06,CN,1710621681
309,argo,37.6333,22.7333,284.14,84,98,1.11,GR,1710621795
310,xilin hot,43.9667,116.0333,265.49,78,0,2.79,CN,1710621795
311,lompoc,34.6391,-120.4579,294.7,54,0,6.69,US,1710621796
312,yemetsk,63.4721,41.7941,276.07,98,100,3.69,RU,1710621796
313,tippi,7.2,35.45,294.7,72,31,1.54,ET,1710621797
314,kourou,5.1552,-52.6478,303.18,78,99,4.52,GF,1710621797
315,khilok,51.3674,110.4676,259.01,94,97,1.05,RU,1710621797
316,nemuro,43.3236,145.575,272.71,74,100,2.08,JP,1710621798
317,forster,-32.1667,152.5167,291.14,100,93,1.56,AU,1710621798
318,codrington,-38.2667,141.9667,289.24,72,51,3.04,AU,1710621799
319,mitsamiouli,-11.3847,43.2844,301.82,75,69,1.67,KM,1710621799
320,lewistown,40.5992,-77.5714,289.92,66,0,7.72,US,1710621800
321,laguna de perlas,12.3429,-83.6712,302.2,82,15,5.47,NI,1710621800
322,praia,14.9215,-23.5087,300.45,29,0,8.75,CV,1710621801
323,muang khong,14.1167,105.85,297.2,57,90,1.44,LA,1710621801
324,kavaratti,10.5669,72.642,300.65,70,3,4.29,IN,1710621801
325,maralal,1.0968,36.698,290.62,51,1,3.07,KE,1710621802
326,xining,36.6167,101.7667,272.88,55,100,0.31,CN,1710621558
327,calca,-13.3333,-71.95,295.79,72,95,3.06,PE,1710621803
328,smithers,54.7804,-127.1743,283.33,53,0,3.09,CA,1710621648
329,pemangkat,1.1667,108.9667,298.69,89,98,2.89,ID,1710621804
330,guerrero negro,27.9769,-114.0611,292.2,42,99,6.53,MX,1710621804
331,san julian,21.0167,-102.1667,301.5,10,1,7.12,MX,1710621805
332,tazacorte,28.629,-17.9293,293.79,77,20,4.12,ES,1710621805
333,crucecita,-28.95,-58.9833,299.76,84,65,4.54,AR,1710621806
334,labrador city,52.9463,-66.9114,269.1,58,75,1.03,CA,1710621806
335,amga,60.8953,131.9608,241.19,100,100,0.71,RU,1710621806
336,beau vallon,-20.4189,57.6953,298.83,88,20,3.6,MU,1710621807
337,marquette,46.5333,-87.6335,275.83,63,98,7.6,US,1710621807
338,tarawa,1.419,172.984,301.2,94,40,3.6,KI,1710621808
339,vila velha,-20.3297,-40.2925,303.12,85,0,5.66,BR,1710621334
340,aleksandrovsk-sakhalinskiy,50.8975,142.1561,251.24,94,39,1.86,RU,1710621808
341,corner brook,48.9667,-57.9484,277.24,97,100,0.7,CA,1710621568
342,kone,-21.0595,164.8658,298.36,85,81,2.44,NC,1710621809
343,porto novo,6.4965,2.6036,303.05,82,15,3.95,BJ,1710621595
344,marka,1.7159,44.7717,300.61,79,63,6.34,SO,1710621810
345,catemaco,18.4167,-95.1167,304.37,55,22,1.62,MX,1710621810
346,pahrump,36.2083,-115.9839,285.18,64,100,1.34,US,1710621811
347,ghat,24.9647,10.1728,291.49,21,0,3.89,LY,1710621811
348,buenaventura,3.8801,-77.0312,299.77,90,99,1.79,CO,1710621601
349,shiguai,40.7058,110.2856,272.68,31,75,1.72,CN,1710621812
350,hancheng,32.5186,112.3522,287.27,78,100,7.7,CN,1710621812
351,achacachi,-16.05,-68.6833,285.94,73,99,4.53,BO,1710621813
352,saudarkrokur,65.7461,-19.6394,273.4,95,98,2.29,IS,1710621813
353,at taj,24.2049,23.2857,293.3,29,18,10.84,LY,1710621813
354,marsh harbour,26.5412,-77.0636,298.4,76,94,3.94,BS,1710621814
355,sabalgarh,26.25,77.4,293.48,23,56,2.04,IN,1710621814
356,tevriz,57.509,72.4042,273.36,96,100,2.72,RU,1710621815
357,awjilah,29.1081,21.2869,288.5,56,0,7.72,LY,1710621816
358,el granada,37.5027,-122.4694,297.55,55,20,3.09,US,1710621816
359,malvan,16.0667,73.4667,296.7,71,4,4.25,IN,1710621816
360,soller,39.7662,2.7152,288.07,75,40,2.39,ES,1710621817
361,chonchi,-42.6128,-73.8092,287.71,56,78,1.71,CL,1710621817
362,leava,-14.3,-178.1667,300.64,85,100,5.81,WF,1710621818
363,acajutla,13.5928,-89.8275,304.4,59,2,4.4,SV,1710621696
364,ulladulla,-35.35,150.4667,290.4,92,100,2.23,AU,1710621819
